name,ages,team,play_year,country,打,投,出賽數,打席,打數,打點,得分,安打,一安,二安,三安,全壘打,壘打數,被三振,盜壘,上壘率,長打率,打擊率,雙殺打,犧短,犧飛,四壞,故四,死球,盜壘刺,滾地出局,高飛出局,滾飛出局比,盜壘率,整體攻擊指數
丘昌榮25,31,誠泰,2003,中華民國,右打,右投,91,331,304,44,23,73,50,14,2,7,112,82,4,0.28800000000000003,0.368,0.24,7,1,4,21,0,1,4,76,78,0.9740000000000001,0.5,0.6559999999999999
丘昌榮25,32,誠泰,2004,中華民國,右打,右投,80,208,191,24,24,47,34,8,0,5,70,65,2,0.293,0.366,0.24600000000000002,2,0,3,12,0,2,1,47,35,1.3430000000000002,0.67,0.659
丘昌榮25,33,誠泰,2005,中華民國,右打,右投,66,174,154,20,16,41,28,9,0,4,62,29,0,0.331,0.40299999999999997,0.266,2,5,0,11,0,4,1,49,40,1.225,0.0,0.7340000000000001
丘昌榮25,34,誠泰,2006,中華民國,右打,右投,81,269,241,29,23,55,38,12,0,5,82,54,0,0.292,0.34,0.228,4,2,3,16,0,7,1,73,64,1.141,0.0,0.632
丘昌榮25,35,誠泰,2007,中華民國,右打,右投,75,173,155,13,13,44,36,7,1,0,53,38,0,0.35100000000000003,0.342,0.284,4,2,0,7,0,9,0,33,42,0.7859999999999999,0.0,0.693
丹尼歐0,33,時報,1996,多明尼加,右打,右投,98,432,353,82,84,109,56,26,0,27,216,81,12,0.423,0.612,0.309,6,1,3,64,3,8,2,72,95,0.758,0.86,1.035
于森旭51,24,義大,2016,中華民國,左打,右投,71,174,157,20,23,43,30,12,1,0,57,36,9,0.318,0.363,0.27399999999999997,3,4,2,9,0,2,1,51,33,1.545,0.9,0.6809999999999999
于森旭51,25,富邦悍將,2017,中華民國,左打,右投,64,168,147,17,15,34,23,10,0,1,47,44,3,0.29,0.32,0.231,3,6,2,10,0,3,2,44,33,1.3330000000000002,0.6,0.61
于森旭51,26,富邦悍將,2018,中華民國,左打,右投,77,214,182,18,23,50,41,8,0,1,61,33,4,0.327,0.335,0.275,3,11,4,14,1,2,3,75,38,1.974,0.57,0.662
于森旭51,27,富邦悍將,2019,中華民國,左打,右投,36,81,68,5,5,13,9,4,0,0,17,18,0,0.263,0.25,0.191,0,4,1,6,1,1,0,21,20,1.05,0.0,0.513
于森旭51,28,富邦悍將,2020,中華民國,左打,右投,29,56,52,6,5,10,7,3,0,0,13,11,1,0.23600000000000002,0.25,0.192,0,1,0,3,0,0,3,16,16,1.0,0.25,0.486
于森旭51,29,富邦悍將,2021,中華民國,左打,右投,16,22,21,1,1,4,3,1,0,0,5,4,1,0.22699999999999998,0.23800000000000002,0.19,1,0,0,1,0,0,1,6,7,0.857,0.5,0.465
亞伯汗44,31,中信,2008,多明尼加,左右開弓,右投,40,156,138,19,19,37,32,2,0,3,48,27,0,0.344,0.348,0.268,3,0,0,15,2,1,0,33,41,0.805,0.0,0.6920000000000001
亞力士0,28,中信,1999,多明尼加,右打,右投,80,335,302,64,63,98,57,23,0,18,175,58,6,0.382,0.579,0.325,9,0,3,27,0,3,2,86,63,1.365,0.75,0.961
亞士達0,34,誠泰,2003,古巴,右打,右投,26,99,95,8,6,19,15,3,0,1,25,13,1,0.23199999999999998,0.263,0.2,7,0,0,4,0,0,0,44,19,2.316,1.0,0.495
亨利4,34,統一7-ELEVEn獅,2010,多明尼加,左右開弓,右投,50,226,201,11,26,50,36,10,3,1,69,42,22,0.326,0.34299999999999997,0.249,0,2,0,20,0,3,4,51,60,0.85,0.85,0.669
任志偉0,27,味全龍,1999,中華民國,右打,右投,74,248,213,28,24,57,40,15,0,2,78,52,2,0.36200000000000004,0.366,0.268,7,0,1,29,2,3,0,71,34,2.088,1.0,0.728
伯納德0,34,時報,1997,多明尼加,右打,右投,4,20,18,4,2,4,2,1,0,1,8,6,0,0.3,0.444,0.222,0,0,0,2,0,0,0,2,6,0.33299999999999996,0.0,0.7440000000000001
何信賢7,24,Lamigo,2010,中華民國,左打,左投,8,23,22,0,2,1,1,0,0,0,1,5,0,0.087,0.045,0.045,0,0,0,1,0,0,0,15,1,15.0,0.0,0.132
