name,age,team,play_year,country,打,投,守備位置,出賽數,守備機會,刺殺,助殺,失誤,雙殺,三殺,守備率
丘昌榮25,31,誠泰,2003,中華民國,右打,右投,外野手,85,124,112,5,7,1,0,0.9440000000000001
丘昌榮25,32,誠泰,2004,中華民國,右打,右投,外野手,14,15,13,0,2,0,0,0.867
丘昌榮25,33,誠泰,2005,中華民國,右打,右投,外野手,17,18,17,0,1,0,0,0.9440000000000001
丘昌榮25,34,誠泰,2006,中華民國,右打,右投,外野手,25,31,30,0,1,0,0,0.968
丘昌榮25,35,誠泰,2007,中華民國,右打,右投,外野手,23,20,18,1,1,0,0,0.95
丹尼歐0,33,時報,1996,多明尼加,右打,右投,三壘手,98,298,86,190,22,21,1,0.9259999999999999
于森旭51,24,義大,2016,中華民國,左打,右投,三壘手,53,84,21,55,8,4,0,0.905
于森旭51,24,義大,2016,中華民國,左打,右投,外野手,9,3,2,0,1,0,0,0.667
于森旭51,24,義大,2016,中華民國,左打,右投,二壘手,5,12,3,9,0,2,0,1.0
于森旭51,24,義大,2016,中華民國,左打,右投,游擊手,1,0,0,0,0,0,0,0.0
于森旭51,25,富邦悍將,2017,中華民國,左打,右投,游擊手,28,73,29,41,3,16,0,0.9590000000000001
于森旭51,25,富邦悍將,2017,中華民國,左打,右投,外野手,20,16,15,0,1,0,0,0.938
于森旭51,25,富邦悍將,2017,中華民國,左打,右投,三壘手,8,12,6,5,1,0,0,0.917
于森旭51,25,富邦悍將,2017,中華民國,左打,右投,二壘手,8,11,4,6,1,2,0,0.909
于森旭51,26,富邦悍將,2018,中華民國,左打,右投,游擊手,57,218,77,132,9,30,0,0.9590000000000001
于森旭51,26,富邦悍將,2018,中華民國,左打,右投,二壘手,11,13,6,6,1,4,0,0.9229999999999999
于森旭51,26,富邦悍將,2018,中華民國,左打,右投,三壘手,4,8,2,6,0,0,0,1.0
于森旭51,26,富邦悍將,2018,中華民國,左打,右投,外野手,3,0,0,0,0,0,0,0.0
于森旭51,27,富邦悍將,2019,中華民國,左打,右投,游擊手,18,56,19,34,3,4,0,0.946
于森旭51,27,富邦悍將,2019,中華民國,左打,右投,三壘手,9,14,6,8,0,0,0,1.0
于森旭51,27,富邦悍將,2019,中華民國,左打,右投,二壘手,4,9,4,4,1,1,0,0.889
于森旭51,27,富邦悍將,2019,中華民國,左打,右投,外野手,2,4,3,1,0,1,0,1.0
于森旭51,28,富邦悍將,2020,中華民國,左打,右投,二壘手,19,62,20,41,1,8,0,0.9840000000000001
于森旭51,28,富邦悍將,2020,中華民國,左打,右投,外野手,3,0,0,0,0,0,0,0.0
于森旭51,28,富邦悍將,2020,中華民國,左打,右投,三壘手,2,4,0,3,1,1,0,0.75
于森旭51,29,富邦悍將,2021,中華民國,左打,右投,二壘手,9,20,10,9,1,5,0,0.95
于森旭51,29,富邦悍將,2021,中華民國,左打,右投,外野手,6,8,8,0,0,0,0,1.0
亞伯汗44,31,中信,2008,多明尼加,左右開弓,右投,外野手,36,87,82,2,3,1,0,0.966
亞伯汗44,31,中信,2008,多明尼加,左右開弓,右投,一壘手,1,2,2,0,0,0,0,1.0
亞力士0,28,中信,1999,多明尼加,右打,右投,一壘手,80,817,745,62,10,51,0,0.988
亞力士0,28,中信,1999,多明尼加,右打,右投,三壘手,1,5,1,4,0,0,0,1.0
