數據項目,原始數據,原始數據_該年度球員中位數成績比較,原始數據_該年度球員75分百位數成績比較
name,陳金鋒,陳金鋒,陳金鋒
ages,29,29,29
team,Lamigo,Lamigo,Lamigo
play_year,2006,2006,2006
country,中華民國,中華民國,中華民國
打,右打,右打,右打
投,右投,右投,右投
出賽數,91.0,win,win
打席,398.0,win,win
打數,344.0,win,win
打點,81.0,win,win
得分,76.0,win,win
安打,109.0,win,win
一安,67.0,win,win
二安,21.0,win,win
三安,0.0,lose,lose
全壘打,21.0,win,win
壘打數,193.0,win,win
被三振,72.0,lose,lose
盜壘,20.0,win,win
上壘率,0.385,win,win
長打率,0.561,win,win
打擊率,0.317,win,win
雙殺打,8.0,lose,lose
犧短,0.0,,
犧飛,5.0,,
四壞,36.0,win,win
故四,8.0,win,win
死球,5.0,,
盜壘刺,1.0,,
滾地出局,81.0,,
高飛出局,87.0,,
滾飛出局比,0.931,,
盜壘率,0.95,win,win
整體攻擊指數,0.946,win,win
